Andorra la Vella, Andorra;42.506939;1.521247
Ordino, Andorra;42.556150;1.533494
Aubinyà, Andorra;42.453623;1.492323
Juberri, Andorra;42.439174;1.491782
Nagol, Andorra;42.470514;1.499592
Bixessarri, Andorra;42.483629;1.456681
el Tarter, Andorra;42.580333;1.649696
Prats, Andorra;42.560560;1.593656
Sant Pere, Andorra;42.578503;1.653163
Canillo, Andorra;42.566831;1.597765
Sornás, Andorra;42.564932;1.527403
Pas de la Casa, Andorra;42.544710;1.733494
el Serrat, Andorra;42.619578;1.538898
Ransol, Andorra;42.581677;1.637485
Vila, Andorra;42.531854;1.566625
Erts, Andorra;42.561486;1.496590
Ansalonga, Andorra;42.569022;1.522153
Engordany, Andorra;42.513539;1.538208
Arinsal, Andorra;42.572082;1.484403
Sant Julià de Lòria, Andorra;42.466854;1.492328
Fontaneda, Andorra;42.454309;1.464024
Pal, Andorra;42.545799;1.475979
Xixerella, Andorra;42.553120;1.487867
Aixovall, Andorra;42.476981;1.488752
Llorts, Andorra;42.596264;1.526185
Soldeu, Andorra;42.576894;1.668269
la Cortinada, Andorra;42.575568;1.519345
Llumeneres, Andorra;42.472155;1.511681
Arans, Andorra;42.582531;1.518069
La Massana, Andorra;42.544201;1.516375
Segudet, Andorra;42.557064;1.538057
Encamp, Andorra;42.535978;1.583675
les Escaldes, Andorra;42.509002;1.540407
Aixirivall, Andorra;42.462000;1.501617
Certers, Andorra;42.476080;1.506154
Meritxell, Andorra;42.553633;1.590640
Grau Roig, Andorra;42.536899;1.701791
Engolasters, Andorra;42.510511;1.559233
la Margineda, Andorra;42.487010;1.491396
les Bordes d'Envalira, Andorra;42.559967;1.684897